Movie Title,Year,Adjusted Score,Director,Synopsis,Cast,Consensus
Dirty Harry,1971,89,Don Siegel,"""You've got to ask yourself a question: 'do I feel lucky?' Well, do ya, punk?"" Dirty Harry provoked a critical... [More]","Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum","As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact."
Live Die Repeat: Edge of Tomorrow,2014,90,Doug Liman,"The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the... [More]","Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."
X2: X-Men United,2003,85,Bryan Singer,"When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's... [More]","Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general."
The Fugitive,1993,96,Andrew Davis,This 1993 box-office smash partly adheres to the 1960s TV series on which it is based and partly goes off... [More],"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."
Black Panther,2018,97,Ryan Coogler,"""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced... [More]","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.
Inception,2010,87,Christopher Nolan,"Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who... [More]","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
Braveheart,1995,77,Mel Gibson,"Mel Gibson, long-time heartthrob of the silver screen, came into his own as a director with Braveheart, an account of... [More]","Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack","Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition."
Minority Report,2002,90,Steven Spielberg,"Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with... [More]","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
Avengers: Endgame,2019,94,Joe Russo,The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers... [More],"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."
Dredd,2012,79,Pete Travis,"The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega... [More]","Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."
The Bourne Identity,2002,83,Doug Liman,"The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988... [More]","Matt Damon, Franka Potente, Chris Cooper, Clive Owen","Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some."
Ip Man,2010,85,Wilson Yip,"Wing Chun grandmaster Ip has an amazing wife, plenty of money, the most beautiful house in town, and a blossoming... [More]","Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin","At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years."
Face/Off,1997,92,John Woo,"The third of John Woo's American-made feature films, Face/Off stars John Travolta as Sean Archer, an FBI agent obsessed with... [More]","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."
To Live and Die in L.A.,1985,91,William Friedkin,"William Friedkin's crime thriller, based on a book by U.S. Secret Service agent Gerald Petievich, concerns an arrogant Secret Service... [More]","William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller."
The Dark Knight,2008,94,Christopher Nolan,"Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming... [More]","Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga."
Mission: Impossible Ghost Protocol,2011,93,Brad Bird,This is not just another mission. The IMF is shut down when it's implicated in a global terrorist bombing plot.... [More],"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works."
Fast Five,2011,77,Justin Lin,Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law.... [More],"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson","Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise."
Lethal Weapon,1987,82,Richard Donner,"L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish.... [More]","Mel Gibson, Danny Glover, Gary Busey, Darlene Love","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."
The Rock,1996,66,Michael Bay,"The sophomore film from former music video and commercial director Michael Bay, this fast-paced action yarn featured rapid-fire editing, a... [More]","Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
RoboCop,1987,89,Paul Verhoeven,"In near-future Detroit, a murdered police officer is resurrected as an experimental crime-fighting cyborg named Robocop. Tormented by memories of... [More]","Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
John Wick: Chapter 2,2017,89,Chad Stahelski,"In this next chapter following the 2014 hit, legendary hitman John Wick (Keanu Reeves) is forced back out of retirement... [More]","Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Casino Royale,2006,95,Martin Campbell,"James Bond's first 007 mission takes him to Madagascar, where he is to spy on a terrorist Mollaka. Not everything... [More]","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","asino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
Baby Driver,2017,93,Edgar Wright,"A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in... [More]","Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal","Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
Fist of Legend (Jing wu ying xiong),1994,100,Gordon Chan,"Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the... [More]","Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)",No consensus yet.
The Killer,1989,98,John Woo,"Chow Yun-Fat, director John Woo's favorite actor, stars as a professional assassin. The moral outrages of his employers lead Yun-Fat,... [More]","Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
The Raid 2,2014,80,Gareth Evans,He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a... [More],"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
Enter the Dragon,1973,94,Robert Clouse,"One of the most popular kung fu films ever, and perhaps the peak of the famed Bruce Lee's career, Enter... [More]","Bruce Lee, John Saxon, Jim Kelly, Shih Kien","Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song."
Commando,1985,71,Mark L. Lester,Colonel Matrix (Arnold Schwarzenegger) is retired and living peaceably with his 10-year-old daughter (Alyssa Milano) when she is kidnapped by... [More],"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
First Blood,1982,87,Ted Kotcheff,A former Green Beret must use all of the guerrilla tactics he learned in Vietnam to save himself after he... [More],"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso","Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
Mission: Impossible Rogue Nation,2015,93,Christopher McQuarrie,"With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network... [More]","Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
The Terminator,1984,100,James Cameron,"A Cyborg has been sent from the future on a deadly mission, it has been programmed to kill a young... [More]","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,76,Ridley Scott,"A man robbed of his name and his dignity strives to win them back, and gain the freedom of his... [More]","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Volume 1,2003,85,Quentin Tarantino,An entire wedding party is slaughtered during a dress rehearsal in a rural chapel: the pregnant woman in the blood-splattered... [More],"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
Léon: The Professional,1994,73,Luc Besson,"As visually stylish as it is graphically violent, this thriller directed by Luc Besson concerns Mathilda (Natalie Portman), a 12-year-old... [More]","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
Speed,1994,94,Lee Sang-woo,"If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one.... [More]",,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83,Lau Kar-Leung,Jackie Chan returns in one of his greatest roles in this action-comedy sequel to his 1978 Hong Kong blockbuster Drunken... [More],"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86,David Leitch,An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City... [More],"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2001,97,Ang Lee,Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts... [More],"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,81,John McTiernan,"Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it.... [More]","Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92,Paul Greengrass,Jason Bourne (Matt Damon) races to solve the mystery of his past while being hunted by members of the very... [More],"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82,Paul Verhoeven,"In Paul Verhoeven's wild sci-fi action movie Total Recall, Arnold Schwarzenegger plays a 21st-century construction worker who discovers that his... [More]","Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2: The Road Warrior,1982,95,George Miller,Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to... [More],"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
Heat,1995,86,Michael Mann,"A successful career criminal considers getting out of the business after one last score, while an obsessive cop desperately tries... [More]","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2012,86,Gareth Evans,"As a rookie member of an elite special-forces team, Rama (Iko Uwais) is instructed to hang back during a covert... [More]","Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible - Fallout,2018,97,Christopher McQuarrie,The best intentions often come back to haunt you. MISSION: IMPOSSIBLE - FALLOUT finds Ethan Hunt (Tom Cruise) and his... [More],"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,95,Steven Spielberg,"Indiana Jones (Harrison Ford) is no ordinary archeologist. When we first see him, he is somewhere in the Peruvian jungle... [More]","Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,97,James Cameron,"Big-budget special effects, swiftly paced action, and a distinct feminist subtext from writer/director James Cameron turned what should have been... [More]","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Lat sau san taam (Hard-Boiled),1992,94,John Woo,"Yun-Fat portrays a maverick, clarinet-playing cop nicknamed ""Tequila"" whose partner is killed in the dizzying chaos of a restaurant gunfight... [More]","Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,87,Lilly Wachowski,"What if virtual reality wasn't just for fun, but was being used to imprison you? That's the dilemma that faces... [More]","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93,James Cameron,"A sequel to the sci-fi action thriller that made him and star Arnold Schwarzenegger A-list Hollywood names, writer/director James Cameron... [More]","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,93,John McTiernan,"It's Christmas time in L.A., and there's an employee party in progress on the 30th floor of the Nakatomi Corporation... [More]","Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97,George Miller,"Filmmaker George Miller gears up for another post-apocalyptic action adventure with Fury Road, the fourth outing in the Mad Max... [More]","Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
